"role","degree_order","avg_ordered_degree"
"Manufacturer",1,28.4
"Manufacturer",2,24.5
"Manufacturer",3,22.4
"Manufacturer",4,20.4
"Manufacturer",5,18.35
"Manufacturer",6,16.15
"Manufacturer",7,15.05
"Manufacturer",8,13.4
"Manufacturer",9,12
"Manufacturer",10,10.45
"Manufacturer",11,8.15
"Manufacturer",12,7
"Manufacturer",13,5.65
"Manufacturer",14,4.9
"Manufacturer",15,4.4
"Manufacturer",16,4.15
"Manufacturer",17,4
"Manufacturer",18,4
"Manufacturer",19,4
"Manufacturer",20,4
"Manufacturer",21,4
"Manufacturer",22,4
"Manufacturer",23,4
"Manufacturer",24,4
"Manufacturer",25,4
"Manufacturer",26,4
"Manufacturer",27,4
"Manufacturer",28,3.85
"Manufacturer",29,3.55
"Manufacturer",30,2.75
"Manufacturer",31,2.05
"Manufacturer",32,1.25
"Manufacturer",33,0.8
"Retailer",1,26.7
"Retailer",2,23.5
"Retailer",3,21.35
"Retailer",4,20.15
"Retailer",5,19.15
"Retailer",6,17.45
"Retailer",7,16.05
"Retailer",8,15.05
"Retailer",9,14.3
"Retailer",10,13.4
"Retailer",11,12.05
"Retailer",12,10.95
"Retailer",13,9.7
"Retailer",14,8.65
"Retailer",15,7.9
"Retailer",16,7.15
"Retailer",17,6.6
"Retailer",18,6.05
"Retailer",19,5.7
"Retailer",20,5.2
"Retailer",21,5
"Retailer",22,4.75
"Retailer",23,4.35
"Retailer",24,4.2
"Retailer",25,4.1
"Retailer",26,4
"Retailer",27,4
"Retailer",28,3.85
"Retailer",29,3.6
"Retailer",30,3.35
"Retailer",31,2.85
"Retailer",32,2
"Retailer",33,1.05
"Retailer",34,0.25
"Supplier",1,26
"Supplier",2,18
"Supplier",3,15
"Supplier",4,13
"Supplier",5,11
"Supplier",6,10
"Supplier",7,10
"Supplier",8,9
"Supplier",9,9
"Supplier",10,8
"Supplier",11,8
"Supplier",12,7
"Supplier",13,7
"Supplier",14,7
"Supplier",15,7
"Supplier",16,6
"Supplier",17,6
"Supplier",18,6
"Supplier",19,6
"Supplier",20,6
"Supplier",21,6
"Supplier",22,5
"Supplier",23,5
"Supplier",24,5
"Supplier",25,5
"Supplier",26,5
"Supplier",27,5
"Supplier",28,5
"Supplier",29,5
"Supplier",30,5
"Supplier",31,5
"Supplier",32,5
"Supplier",33,4
